Salary,Comm. Pay,Total Pre Tax,Post Tax Est.,,Month,AS Goal,PS Goal,3PP Goal,AS Sales,PS Sales,3PP Sales,AS % of Goal,PS % of Goal,% of Goal,Comm. %,3PP Comm.,True Up / (Down),,Next Tier At,3PP $ Needed for Next Tier,,Wholesale Sales,WS Payout (10%),,QTD Goal,QTD Actual,QTD%,QTD Comm. %,,YTD Goal,YTD Actual,YTD%,YTD Comm. %
"$6,000",#NAME?,#NAME?,#NAME?,,Jan,"$1,465","$9,131","$10,596","$1,113","$2,625","$3,738",75.97%,28.75%,35.28%,#NAME?,#NAME?,,,#NAME?,#NAME?,,$0.00,$0.00,,"$10,596","$3,738",35.28%,#NAME?,,"$10,596","$3,738",35.28%,#NAME?
"$6,000",#NAME?,#NAME?,#NAME?,,Feb,"$1,637","$14,080","$15,717","$1,000","$4,092","$5,092",61.09%,29.06%,32.40%,#NAME?,#NAME?,,,#NAME?,#NAME?,,$0.00,$0.00,,"$26,313","$8,830",33.56%,#NAME?,,"$26,313","$8,830",33.56%,#NAME?
"$6,000",#NAME?,#NAME?,#NAME?,,Mar,"$2,016","$16,276","$18,292",$620,"$4,175","$4,795",30.76%,25.65%,26.22%,#NAME?,#NAME?,#NAME?,,#NAME?,#NAME?,,$0.00,$0.00,,"$44,605","$13,626",30.55%,#NAME?,,"$44,605","$13,626",30.55%,#NAME?
"$6,000",#NAME?,#NAME?,#NAME?,,Apr,"$2,064","$16,988","$19,052",$443,"$6,050","$6,493",21.47%,35.61%,34.08%,#NAME?,#NAME?,,,#NAME?,#NAME?,,$0.00,$0.00,,"$19,052","$6,493",34.08%,#NAME?,,"$63,657","$20,119",31.60%,#NAME?
"$6,000",#NAME?,#NAME?,#NAME?,,May,"$2,053","$15,532","$17,585",$919,"$7,344","$8,263",44.75%,47.28%,46.99%,#NAME?,#NAME?,,,#NAME?,#NAME?,,$0.00,$0.00,,"$36,637","$14,756",40.28%,#NAME?,,"$81,242","$28,381",34.93%,#NAME?
"$6,000",#NAME?,#NAME?,#NAME?,,Jun,"$2,150","$17,496","$19,646",$0,$0,$0,0.00%,0.00%,0.00%,#NAME?,#NAME?,#NAME?,,#NAME?,#NAME?,,$0.00,$0.00,,"$56,283","$14,756",26.22%,#NAME?,,"$100,888","$28,381",28.13%,#NAME?
"$6,000",#NAME?,#NAME?,#NAME?,,Jul,"$2,121","$17,374","$19,495",$0,$0,$0,0.00%,0.00%,0.00%,#NAME?,#NAME?,,,#NAME?,#NAME?,,$0.00,$0.00,,"$19,495",$0,0.00%,#NAME?,,"$120,383","$28,381",23.58%,#NAME?
"$6,000",#NAME?,#NAME?,#NAME?,,Aug,"$2,263","$16,396","$18,659",$0,$0,$0,0.00%,0.00%,0.00%,#NAME?,#NAME?,,,#NAME?,#NAME?,,$0.00,$0.00,,"$38,154",$0,0.00%,#NAME?,,"$139,042","$28,381",20.41%,#NAME?
"$6,000",#NAME?,#NAME?,#NAME?,,Sep,"$2,101","$17,136","$19,237",$0,$0,$0,0.00%,0.00%,0.00%,#NAME?,#NAME?,#NAME?,,#NAME?,#NAME?,,$0.00,$0.00,,"$57,391",$0,0.00%,#NAME?,,"$158,279","$28,381",17.93%,#NAME?
"$6,000",#NAME?,#NAME?,#NAME?,,Oct,"$2,287","$18,371","$20,658",$0,$0,$0,0.00%,0.00%,0.00%,#NAME?,#NAME?,,,#NAME?,#NAME?,,$0.00,$0.00,,"$20,658",$0,0.00%,#NAME?,,"$178,937","$28,381",15.86%,#NAME?
"$6,000",#NAME?,#NAME?,#NAME?,,Nov,"$2,177","$16,672","$18,849",$0,$0,$0,0.00%,0.00%,0.00%,#NAME?,#NAME?,,,#NAME?,#NAME?,,$0.00,$0.00,,"$39,507",$0,0.00%,#NAME?,,"$197,786","$28,381",14.35%,#NAME?
"$6,000",#NAME?,#NAME?,#NAME?,,Dec,"$2,664","$24,548","$27,212",$0,$0,$0,0.00%,0.00%,0.00%,#NAME?,#NAME?,#NAME?,,#NAME?,#NAME?,,$0.00,$0.00,,"$66,719",$0,0.00%,#NAME?,,"$224,998","$28,381",12.61%,#NAME?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$72,000",#NAME?,#NAME?,#NAME?,,TOTAL,"$24,998","$200,000","$224,998",,,"$28,381",,,,,#NAME?,#NAME?,,,,,$0.00,$0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Monthly Comm.,,Proj. Pre Tax / Post Tax $,,,,,,,,,,,,,,,34 Days Left in Q2,,,,,,,,,,,,,,,,
#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
